segment_id,start,end,duration_seconds,duration_formatted,task,pause_start,pause_end
1,2025-08-06 14:13:56,2025-08-06 14:14:17,16.2,0:00:16,Ripresa dopo pranzo,2025-08-06 14:14:06,2025-08-06 14:14:10
2,2025-08-06 14:14:31,2025-08-06 14:14:37,6.01,0:00:06,ciccio,,
